Date,Close/Last,Volume,Open,High,Low
12/19/2023,42697.70,N/A,42919.30,42698.00,42217.20
12/18/2023,42910.90,N/A,41182.10,43473.30,42576.50
12/17/2023,41189.40,N/A,42013.90,41431.00,40801.20
12/16/2023,42006.50,N/A,42284.20,42287.30,41862.10
12/15/2023,42255.80,N/A,42804.40,42403.20,41698.20
12/14/2023,42784.90,N/A,42717.60,43080.70,42667.30
12/13/2023,42721.60,N/A,40896.60,42943.00,42667.00
12/12/2023,40901.20,N/A,41395.90,41496.40,40649.30
12/11/2023,41527.10,N/A,42144.30,41929.80,41176.90
12/10/2023,42083.50,N/A,43939.20,43806.30,41176.60
12/09/2023,43937.90,N/A,44234.70,43965.70,43684.00
12/08/2023,44240.10,N/A,43470.90,44279.30,44046.70
12/07/2023,43471.50,N/A,43969.20,43534.40,43282.20
12/06/2023,43980.50,N/A,43730.20,44046.40,43724.90
12/05/2023,41613.10,N/A,41603.80,41989.60,41424.90
12/04/2023,41763.00,N/A,40878.30,41989.60,41626.40
12/03/2023,40842.50,N/A,39347.20,40883.40,39968.60
12/02/2023,39602.30,N/A,38791.60,39673.40,38646.50
12/01/2023,38756.30,N/A,38185.40,38810.60,38646.50
11/30/2023,38192.80,N/A,37982.00,38234.90,37618.30
11/29/2023,37969.50,N/A,37940.00,38144.40,37702.40
11/28/2023,37903.90,N/A,36992.80,38077.00,37686.50
11/27/2023,37001.80,N/A,37309.80,37342.80,36992.30
11/26/2023,37372.90,N/A,37735.90,37563.30,37219.20
11/25/2023,37752.70,N/A,37803.20,37790.40,37671.60
11/24/2023,37769.40,N/A,37324.90,37847.00,37696.60
11/23/2023,37339.90,N/A,37306.90,37481.60,37257.40
11/22/2023,37372.80,N/A,36382.40,37530.40,37264.70
11/21/2023,36441.60,N/A,37472.40,36463.30,35695.60
11/20/2023,37424.90,N/A,37215.90,37631.20,37328.20
11/19/2023,37214.60,N/A,36536.50,37380.20,37072.80
11/18/2023,36528.00,N/A,36392.30,36575.80,36406.00
11/17/2023,36403.60,N/A,36431.30,36617.50,36364.60
11/16/2023,36421.40,N/A,37441.90,36636.50,36109.50
11/15/2023,37459.30,N/A,35568.40,37907.60,37347.60
11/14/2023,35529.30,N/A,36500.40,35658.60,35379.60
11/13/2023,36520.20,N/A,36934.20,36520.40,36214.20
11/12/2023,36900.30,N/A,37009.00,37404.60,36834.10
11/11/2023,36961.70,N/A,37073.20,37173.80,36761.90
11/10/2023,37044.20,N/A,36772.70,37401.30,36922.20
11/09/2023,36746.10,N/A,36727.40,36905.30,36467.20
11/08/2023,36755.40,N/A,35350.30,36817.50,35578.10
11/07/2023,35341.00,N/A,34903.40,35426.20,35246.10
11/06/2023,34910.30,N/A,34876.10,35055.70,34808.70
11/05/2023,34864.40,N/A,35163.60,35115.40,34841.40
11/04/2023,35153.10,N/A,34713.30,35153.10,34943.60
11/03/2023,34722.40,N/A,34699.80,34788.20,34641.80
11/02/2023,34693.20,N/A,35587.30,34940.60,34384.10
11/01/2023,35611.70,N/A,34424.60,35907.60,35377.80
10/31/2023,34443.00,N/A,34210.90,34670.30,34404.90
10/30/2023,34234.50,N/A,34273.90,34604.30,34234.50
10/29/2023,34282.10,N/A,33973.40,34573.90,34236.00
10/28/2023,34001.60,N/A,34063.00,34101.60,33956.30
10/27/2023,34072.80,N/A,34109.10,34098.20,33867.30
10/26/2023,34097.90,N/A,34793.00,34168.30,33791.50
10/25/2023,34760.20,N/A,33992.90,34826.00,34433.50
10/24/2023,33997.50,N/A,34152.90,34365.30,33794.50
10/23/2023,34398.30,N/A,30732.70,35191.40,32866.50
10/22/2023,30601.00,N/A,29906.20,30772.20,29891.40
10/21/2023,29895.30,N/A,29607.90,30057.20,29848.00
10/20/2023,29605.20,N/A,29243.20,29693.80,29469.10
10/19/2023,29168.20,N/A,28253.10,29383.20,28586.10
10/18/2023,28260.00,N/A,28519.40,28416.80,28170.20
10/17/2023,28493.30,N/A,28271.30,28503.30,28328.20
10/16/2023,28275.60,N/A,27240.00,28553.90,28258.50
10/15/2023,27231.40,N/A,26881.20,27287.50,27119.70
10/14/2023,26890.20,N/A,26931.80,26909.70,26816.90
10/13/2023,26931.20,N/A,26779.50,26975.70,26844.60
10/12/2023,26779.10,N/A,26846.30,26859.50,26751.00
10/11/2023,26842.00,N/A,27015.30,26942.80,26734.30
10/10/2023,27019.20,N/A,27636.30,27475.90,27018.70
10/09/2023,27641.20,N/A,27924.50,27697.60,27517.80
10/08/2023,27941.90,N/A,28016.60,27986.40,27802.50
10/07/2023,28078.40,N/A,27884.80,28097.50,27948.80
10/06/2023,27915.50,N/A,27541.70,27961.40,27859.00
10/05/2023,27568.50,N/A,27678.00,27582.90,27394.10
10/04/2023,27663.40,N/A,27411.40,27872.80,27663.20
10/03/2023,27428.80,N/A,27585.40,27493.80,27242.50
10/02/2023,27592.10,N/A,27985.50,27631.90,27386.60
10/01/2023,28054.80,N/A,27046.70,28142.90,27839.40
09/30/2023,27033.10,N/A,26909.70,27049.80,26955.70
09/29/2023,26903.80,N/A,26900.80,26947.30,26887.50
09/28/2023,26950.70,N/A,26373.80,27119.00,26874.40
09/27/2023,26364.00,N/A,26275.40,26541.80,26339.40
09/26/2023,26270.30,N/A,26353.70,26275.60,26201.80
09/25/2023,26367.80,N/A,26158.80,26396.20,26234.50
09/24/2023,26170.20,N/A,26574.60,26341.80,26043.00
